"Z_KASSE_ID";"Z_ERSTELLUNG";"Z_NR";"UST_SCHLUESSEL";"UST_SATZ";"UST_BESCHR"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-20T19:45:18Z";"44";"2";"7.00";"Ermäßigter Steuersatz"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-20T19:45:18Z";"44";"1";"19.00";"Regelsteuersatz"
