"Z_KASSE_ID";"Z_ERSTELLUNG";"Z_NR";"ZAHLART_TYP";"ZAHLART_NAME";"Z_ZAHLART_BETRAG"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-16T18:35:11Z";"40";"Bar";;"102.70"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-16T18:35:11Z";"40";"Unbar";;"173.67"
