"Z_KASSE_ID";"Z_ERSTELLUNG";"Z_NR";"BON_ID";"ZAHLART_TYP";"ZAHLART_NAME";"ZAHLWAEH_CODE";"ZAHLWAEH_BETRAG";"BASISWAEH_BETRAG"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-16T18:35:11Z";"40";"27fd8858-efae-4ad0-8890-69ee4cefe467";"Unbar";;"EUR";;"12.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-16T18:35:11Z";"40";"618706a4-e221-4ece-b607-09e63b35d4d5";"Bar";;"EUR";;"22.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-16T18:35:11Z";"40";"15f60e02-dd38-4c90-9850-546d13d8456f";"Unbar";;"EUR";;"38.40"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-16T18:35:11Z";"40";"05ec67a8-6e5a-4d9e-b186-79722cd89e25";"Unbar";;"EUR";;"13.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-16T18:35:11Z";"40";"eabbea02-74f1-4f91-97d2-82808ea12c53";"Bar";;"EUR";;"-35.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-16T18:35:11Z";"40";"eabbea02-74f1-4f91-97d2-82808ea12c53";"Bar";;"EUR";;"50.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-16T18:35:11Z";"40";"86bc15ed-f0a4-4e65-9fa2-02409a4ed4e4";"Bar";;"EUR";;"23.20"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-16T18:35:11Z";"40";"4d147a81-d7f1-40db-81fe-773110eba74f";"Unbar";;"EUR";;"6.70"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-16T18:35:11Z";"40";"4129a8cc-b89b-4987-8cff-18a505db6fd2";"Bar";;"EUR";;"-35.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-16T18:35:11Z";"40";"4129a8cc-b89b-4987-8cff-18a505db6fd2";"Bar";;"EUR";;"50.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-16T18:35:11Z";"40";"5a648207-f767-4be9-806d-ec3c53cc4158";"Bar";;"EUR";;"-2.50"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-16T18:35:11Z";"40";"5a648207-f767-4be9-806d-ec3c53cc4158";"Bar";;"EUR";;"30.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-16T18:35:11Z";"40";"23510165-8217-4dab-a086-4d8fccc21d9f";"Unbar";;"EUR";;"54.67"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-16T18:35:11Z";"40";"f88b780d-9e56-4149-9da3-32c321472916";"Unbar";;"EUR";;"12.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-16T18:35:11Z";"40";"e97104a3-bbcc-40c7-8e4a-eba32016cf19";"Unbar";;"EUR";;"16.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-16T18:35:11Z";"40";"c945cd91-545c-425b-b791-0ecab04fad63";"Unbar";;"EUR";;"20.90"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-16T18:35:11Z";"40";"c945cd91-545c-425b-b791-0ecab04fad63";"Unbar";;"EUR";;"19.00"
