"Z_KASSE_ID";"Z_ERSTELLUNG";"Z_NR";"BON_ID";"POS_ZEILE";"ZI_ART_NR";"ZI_GTIN";"ZI_NAME";"ZI_WARENGR_ID";"ZI_WARENGR";"ZI_MENGE";"ZI_FAKTOR";"ZI_EINHEIT";"ZI_UST_SCHLUESSEL";"ZI_BASISPREIS_BRUTTO";"ZI_BASISPREIS_NETTO";"ZI_BASISPREIS_UST"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-02T18:24:51Z";"28";"f57729c9-2bcd-4866-b0e5-1d0c9af363fa";"1";"48665115";;;;;"1.000";;;"2";"4.00000";"3.74000";"0.26000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-02T18:24:51Z";"28";"c88d3fd3-4e42-481e-8e4e-07030d9fef83";"1";"48665115";;;;;"1.000";;;"2";"4.00000";"3.74000";"0.26000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-02T18:24:51Z";"28";"798ce436-0fc9-4a55-ac2d-f1e3001f37d4";"1";"47798836";;;;;"1.000";;;"2";"4.50000";"4.21000";"0.29000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-02T18:24:51Z";"28";"5329870b-1eec-4821-9af6-de8d7431e634";"1";"47798836";;;;;"1.000";;;"2";"4.50000";"4.21000";"0.29000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-02T18:24:51Z";"28";"5329870b-1eec-4821-9af6-de8d7431e634";"11";"47798836";;;;;"1.000";;;"2";"4.50000";"4.21000";"0.29000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-02T18:24:51Z";"28";"1f09fc60-b9db-4d48-849e-a347b6bfb03c";"2";"48665115";;;;;"1.000";;;"2";"4.00000";"3.74000";"0.26000"
