"Z_KASSE_ID";"Z_ERSTELLUNG";"Z_NR";"BON_ID";"TSE_ID";"TSE_TANR";"TSE_TA_START";"TSE_TA_ENDE";"TSE_TA_VORGANGSART";"TSE_TA_SIGZ";"TSE_TA_SIG";"TSE_TA_FEHLER";"TSE_VORGANGSDATEN"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-07T18:47:01Z";"33";"55400f7b-5bfb-478b-a13d-8d02e948e9df";"1";"769";"2025-06-07T09:17:22.000Z";"2025-06-07T18:37:00.000Z";"SonstigerVorgang";"2823";"zQrA2C0u8QH5DjWBgQ3dOI2ZJJYhKAEeo/hxtXCoI5rQRNETYx4aiWeZfUUsCJlmLsjVdYcQOqfjbY6Qw0pEDA==";;"offene Transaktion wurde automatisiert abgebrochen"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-07T18:47:01Z";"33";"1f397d93-afd0-4cab-a3c0-35fd8f0b361b";"1";"773";"2025-06-07T11:04:23.000Z";"2025-06-07T11:04:42.000Z";"Kassenbeleg-V1";"2630";"vVL63iP++fMbOsfgZ7D3rdp8aL4C8y/IVESIYWXgfKedx0JZAKhraSIqRPSApxl8qMl7UA/E4pz0TjT8OFn0rg==";;"Beleg^0.00_19.50_0.00_0.00_0.00^19.50:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-07T18:47:01Z";"33";"6212c3eb-47a4-4ce3-9668-383f6a18fe6e";"1";"783";"2025-06-07T11:24:27.000Z";"2025-06-07T18:37:00.000Z";"SonstigerVorgang";"2825";"MjQjd/M+zJosVKbMOJ2m5cP3UbXctOnJ4yInfEd6kSX7F28CBNSVOVjSTKzPdFSVCDyeEjGhLQddPobtTgo6Lw==";;"offene Transaktion wurde automatisiert abgebrochen"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-07T18:47:01Z";"33";"3024c543-9396-478f-9cae-cd6839e239d2";"1";"785";"2025-06-07T11:34:58.000Z";"2025-06-07T11:35:55.000Z";"Kassenbeleg-V1";"2699";"Bf4b8qXBj9OdNxbUKOQRygRRsQr9PJMiTm1/qRc6MikJ9q44voQKfFAWEKxa2S710leEzL4w/cuCqLULI7MhtQ==";;"Beleg^3.70_13.00_0.00_0.00_1.67^18.37:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-07T18:47:01Z";"33";"785c67dc-a126-4633-9886-bc66567d68c6";"1";"791";"2025-06-07T11:42:30.000Z";"2025-06-07T11:43:03.000Z";"Kassenbeleg-V1";"2711";"4i6ANdzNVFjoTc76XM3Rlkj36+R80xK0XvpDjqzzOm3gcn4CVx0zYhBo+cmRRny4FMG3K65PSONhsVSA3zhbbQ==";;"Beleg^0.00_19.50_0.00_0.00_0.00^19.50:Bar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-07T18:47:01Z";"33";"19bb5bbe-a77e-448b-89eb-b67eb30ad160";"1";"779";"2025-06-07T11:13:02.000Z";"2025-06-07T11:51:38.000Z";"Kassenbeleg-V1";"2720";"J5AOnivtvic/OdHo1OowxWyyeV4JqM+4hyJMzuRN/ay0rSmcF1lEcXKPZ8lyHs+syEYGgH9ZNu5ZRwUmP05imQ==";;"Beleg^0.00_33.00_0.00_0.00_0.00^33.00:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-07T18:47:01Z";"33";"37449bbd-1c5e-4268-9e79-373625c8942f";"1";"781";"2025-06-07T11:16:02.000Z";"2025-06-07T11:51:43.000Z";"Kassenbeleg-V1";"2722";"gUCsniQ5SzDyyB/SVPLD0GiKPfC4v38Sj3xgOFrkxLOA6hgPVdKfnhy3ZR/1TTP+UvAuAwtJuaSoYNPlG04B0Q==";;"Beleg^0.00_11.00_0.00_0.00_0.00^11.00:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-07T18:47:01Z";"33";"27e887be-9486-4f75-9339-347237ed8d61";"1";"775";"2025-06-07T11:07:22.000Z";"2025-06-07T11:51:52.000Z";"Kassenbeleg-V1";"2724";"g7s4C+S5MlhWmcid3GyWCWjd2IyoecOOZCgqGvfPrdX/I+SHxir7rEfgs7VjkaaofDS9lMlDL5PPlAvN2v2Kww==";;"Beleg^0.00_30.00_0.00_0.00_0.00^30.00:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-07T18:47:01Z";"33";"ddad78e0-0773-4df4-9f2d-1f4005fcbe50";"1";"793";"2025-06-07T11:46:22.000Z";"2025-06-07T12:07:07.000Z";"Kassenbeleg-V1";"2726";"if9dYe300lRHknMUm4Dlz73BBXqnrCPSYv7tFMTjMWXmCbF8jvFAKG+82A+Q33nVdKuROW1TWRtTaF2jaqQlCQ==";;"Beleg^0.00_24.00_0.00_0.00_0.00^24.00:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-07T18:47:01Z";"33";"1867924d-15f8-4040-933a-acd55d211b9d";"1";"797";"2025-06-07T12:11:29.000Z";"2025-06-07T12:12:14.000Z";"Kassenbeleg-V1";"2732";"VClc6DJNgRiL6iWFswmfqK373IQAWKBjOOsghVmibRHBJhFHmLMV9PDuIqWBX8VxTueA7ZoPtSNECjQf9/FBDQ==";;"Beleg^7.40_0.00_0.00_0.00_0.00^7.40:Unbar"
