"Z_KASSE_ID";"Z_ERSTELLUNG";"Z_NR";"BON_ID";"POS_ZEILE";"ZI_ART_NR";"ZI_GTIN";"ZI_NAME";"ZI_WARENGR_ID";"ZI_WARENGR";"ZI_MENGE";"ZI_FAKTOR";"ZI_EINHEIT";"ZI_UST_SCHLUESSEL";"ZI_BASISPREIS_BRUTTO";"ZI_BASISPREIS_NETTO";"ZI_BASISPREIS_UST"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-03T21:58:35Z";"29";"a6416538-6318-4c67-a306-0166edd0ddc6";"1";"47798836";;;;;"1.000";;;"2";"4.50000";"4.21000";"0.29000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-03T21:58:35Z";"29";"0e68cfc1-c411-457e-86bf-369fc0ef57e9";"1";"47798836";;;;;"1.000";;;"2";"4.50000";"4.21000";"0.29000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-03T21:58:35Z";"29";"089444cb-966c-42c5-b999-5ede5e016c48";"1";"48665115";;;;;"1.000";;;"2";"4.00000";"3.74000";"0.26000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-03T21:58:35Z";"29";"38458a8d-93a9-4b1d-a3f7-17a41255a191";"1";"47798836";;;;;"1.000";;;"2";"4.50000";"4.21000";"0.29000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-03T21:58:35Z";"29";"38458a8d-93a9-4b1d-a3f7-17a41255a191";"4";"47826790";;;;;"1.000";;;"2";"3.00000";"2.80000";"0.20000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-03T21:58:35Z";"29";"763a19d0-b928-4ef9-a959-101b8baf9f49";"1";"47798836";;;;;"1.000";;;"2";"4.50000";"4.21000";"0.29000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-03T21:58:35Z";"29";"0aa7faa3-de7a-497e-bb6a-9d7c341e1b0c";"1";"48665255";;;;;"1.000";;;"2";"0.50000";"0.47000";"0.03000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-03T21:58:35Z";"29";"0aa7faa3-de7a-497e-bb6a-9d7c341e1b0c";"1";"48665115";;;;;"1.000";;;"2";"4.00000";"3.74000";"0.26000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-03T21:58:35Z";"29";"0aa7faa3-de7a-497e-bb6a-9d7c341e1b0c";"2";"47798836";;;;;"1.000";;;"2";"4.50000";"4.21000";"0.29000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-03T21:58:35Z";"29";"9c4d72ab-1c73-42bb-b592-43dfee34df9c";"1";"47798836";;;;;"1.000";;;"2";"4.50000";"4.21000";"0.29000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-03T21:58:35Z";"29";"9c4d72ab-1c73-42bb-b592-43dfee34df9c";"2";"47798836";;;;;"1.000";;;"2";"4.50000";"4.21000";"0.29000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-03T21:58:35Z";"29";"ff8805c2-768b-461e-9fb8-3fe010aafcf5";"1";"47798836";;;;;"1.000";;;"2";"4.50000";"4.21000";"0.29000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-03T21:58:35Z";"29";"1abb8695-4369-4b95-9e7b-6450b52a86cd";"1";"47798836";;;;;"1.000";;;"2";"4.50000";"4.21000";"0.29000"
