"Z_KASSE_ID";"Z_ERSTELLUNG";"Z_NR";"BON_ID";"TSE_ID";"TSE_TANR";"TSE_TA_START";"TSE_TA_ENDE";"TSE_TA_VORGANGSART";"TSE_TA_SIGZ";"TSE_TA_SIG";"TSE_TA_FEHLER";"TSE_VORGANGSDATEN"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-05-23T17:12:38Z";"20";"9f70c1f2-249a-42d1-be6a-3cc7d1878314";"1";"153";"2025-05-23T14:36:12.000Z";"2025-05-23T17:02:36.000Z";"SonstigerVorgang";"679";"gzP88UOMu7VouNywkUdhbhOVx5AkQXJraJLmSHiU6tAl9sB7gpB9OK1ZDDJOwfyCYBRgW9dq2KyZyLNvvoya2w==";;"offene Transaktion wurde automatisiert abgebrochen"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-05-23T17:12:38Z";"20";"a99970a1-81ca-455e-920d-fb5a74b36312";"1";"155";"2025-05-23T14:54:49.000Z";"2025-05-23T14:55:25.000Z";"Kassenbeleg-V1";"663";"cQJL0ZbxzM51mCGx+X4LFNO+9bwD3uyC5zCNHHJewsV4vP4l0tmkKM1aMps05Jsp6R880dpXHxiENKuMFsN8Nw==";;"Beleg^0.00_8.50_0.00_0.00_0.00^8.50:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-05-23T17:12:38Z";"20";"d78603d5-3a45-4ce2-ad7c-c9df34d294c3";"1";"157";"2025-05-23T14:56:22.000Z";"2025-05-23T14:56:23.000Z";"Kassenbeleg-V1";"667";"n+QZbPkCLPQs1Yk2HC4JyogR5YldbyuqfDYWCkj5gw/fexB5/vs4UBirUtexO3PZ705XWhIOLM85+I5BOtSkEw==";;"Beleg^0.00_-8.50_0.00_0.00_0.00^-8.50:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-05-23T17:12:38Z";"20";"706cbf3f-bb75-461c-af3e-cb7483f62112";"1";"159";"2025-05-23T14:57:38.000Z";"2025-05-23T16:52:52.000Z";"Kassenbeleg-V1";"674";"lkDRQF6AMP0TUn5/EVAL1tBzw14eChDuxwTgDpoJPLXglb88R+mrolAPOBnytHzPg4b8xjlweVsb7mhFDMeiKg==";;"Beleg^0.00_11.00_0.00_0.00_0.00^11.00:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-05-23T17:12:38Z";"20";"4196f765-57e0-4359-b2a3-045b7be40552";"1";"161";"2025-05-23T16:53:31.000Z";"2025-05-23T16:53:32.000Z";"Kassenbeleg-V1";"678";"1rIIcG5I+xnJysuGnJCrxIIb5q/TmMEVi6lvkBhA2wlu0Z2DywQQ0VOFJBW5k/ZYmP+TbV9DbTAWT3POpoDJvg==";;"Beleg^0.00_-11.00_0.00_0.00_0.00^-11.00:Unbar"
