"Z_KASSE_ID";"Z_ERSTELLUNG";"Z_NR";"BON_ID";"POS_ZEILE";"GUTSCHEIN_NR";"ARTIKELTEXT";"POS_TERMINAL_ID";"GV_TYP";"GV_NAME";"INHAUS";"P_STORNO";"AGENTUR_ID";"ART_NR";"GTIN";"WARENGR_ID";"WARENGR";"MENGE";"FAKTOR";"EINHEIT";"STK_BR"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-05-23T17:12:38Z";"20";"4196f765-57e0-4359-b2a3-045b7be40552";"1";;"Basak Bowls";;"Umsatz";;"1";"0";"0";"47804256";;;;"1.000";;;"-11.00000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-05-23T17:12:38Z";"20";"706cbf3f-bb75-461c-af3e-cb7483f62112";"2";;"Basak Bowls";;"Umsatz";;"1";"0";"0";"47804256";;;;"1.000";;;"11.00000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-05-23T17:12:38Z";"20";"706cbf3f-bb75-461c-af3e-cb7483f62112";"1";;"Basak Bowls";;"Umsatz";;"1";"1";"0";"47804256";;;;"1.000";;;"11.00000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-05-23T17:12:38Z";"20";"d78603d5-3a45-4ce2-ad7c-c9df34d294c3";"1";;"Tteokbokki";;"Umsatz";;"1";"0";"0";"47790564";;;;"1.000";;;"-8.50000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-05-23T17:12:38Z";"20";"a99970a1-81ca-455e-920d-fb5a74b36312";"1";;"Tteokbokki";;"Umsatz";;"1";"0";"0";"47790564";;;;"1.000";;;"8.50000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-05-23T17:12:38Z";"20";"9f70c1f2-249a-42d1-be6a-3cc7d1878314";"3";;"Pommes Frites";;"Umsatz";;"1";"1";"0";"47826849";;;;"1.000";;;"4.00000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-05-23T17:12:38Z";"20";"9f70c1f2-249a-42d1-be6a-3cc7d1878314";"2";;"COCA COLA";;"Umsatz";;"1";"1";"0";"47790569";;;;"1.000";;;"3.70000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-05-23T17:12:38Z";"20";"9f70c1f2-249a-42d1-be6a-3cc7d1878314";"1";;"Chicken Pop Yangnyoem";;"Umsatz";;"1";"1";"0";"47844540";;;;"1.000";;;"11.00000"
