"Z_KASSE_ID";"Z_ERSTELLUNG";"Z_NR";"BON_ID";"POS_ZEILE";"UST_SCHLUESSEL";"POS_BRUTTO";"POS_NETTO";"POS_UST"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"9a9e2a00-764a-4f51-8332-21a34078a9f6";"2";"2";;"3.74000";"0.26000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"9a9e2a00-764a-4f51-8332-21a34078a9f6";"1";"2";;"14.02000";"0.98000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"289fa806-7128-482c-8f17-c35dcd373df3";"1";"1";;"3.11000";"0.59000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"1b8671eb-b559-478e-a396-8dfff4d629f9";"3";"1";;"3.11000";"0.59000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"1b8671eb-b559-478e-a396-8dfff4d629f9";"2";"2";;"3.74000";"0.26000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"1b8671eb-b559-478e-a396-8dfff4d629f9";"1";"1";;"2.52000";"0.48000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"c14e5b54-92c4-40ed-914b-9c17f1d66063";"1";"2";;"7.94000";"0.56000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"112a16fa-456b-486f-9ac4-54bc0ab10bd2";"2";"2";;"2.34000";"0.16000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"112a16fa-456b-486f-9ac4-54bc0ab10bd2";"1";"2";;"2.80000";"0.20000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"a35e686d-df93-41e4-851f-aa692401b0f5";"1";"2";;"6.54000";"0.46000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"b159554a-b4b3-42ec-ae34-7a6bb094a4a5";"5";"2";;"2.34000";"0.16000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"b159554a-b4b3-42ec-ae34-7a6bb094a4a5";"4";"2";;"2.80000";"0.20000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"b159554a-b4b3-42ec-ae34-7a6bb094a4a5";"3";"2";;"3.74000";"0.26000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"b159554a-b4b3-42ec-ae34-7a6bb094a4a5";"2";"2";;"8.41000";"0.59000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"b159554a-b4b3-42ec-ae34-7a6bb094a4a5";"1";"2";;"10.28000";"0.72000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"6b1b3d1b-9072-4136-8cb9-b5bcfe28ffbd";"4";"1";;"2.52000";"0.48000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"6b1b3d1b-9072-4136-8cb9-b5bcfe28ffbd";"3";"1";;"1.68000";"0.32000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"6b1b3d1b-9072-4136-8cb9-b5bcfe28ffbd";"2";"2";;"10.28000";"0.72000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"6b1b3d1b-9072-4136-8cb9-b5bcfe28ffbd";"1";"2";;"10.28000";"0.72000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"4990fe12-6c7d-40e4-9750-5dd484921eb6";"3";"1";;"1.68000";"0.32000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"4990fe12-6c7d-40e4-9750-5dd484921eb6";"2";"2";;"10.75000";"0.75000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"4990fe12-6c7d-40e4-9750-5dd484921eb6";"1";"2";;"13.55000";"0.95000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"1bb3392d-001b-4964-99cf-572d970fbcc2";"6";"2";;"1.87000";"0.13000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"1bb3392d-001b-4964-99cf-572d970fbcc2";"5";"1";;"3.11000";"0.59000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"1bb3392d-001b-4964-99cf-572d970fbcc2";"4";"1";;"3.11000";"0.59000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"1bb3392d-001b-4964-99cf-572d970fbcc2";"3";"2";;"10.28000";"0.72000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"1bb3392d-001b-4964-99cf-572d970fbcc2";"2";"2";;"10.28000";"0.72000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"1bb3392d-001b-4964-99cf-572d970fbcc2";"1";"2";;"10.28000";"0.72000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"fcd41eaa-c8f2-4b19-8712-2354ca0f35b1";"3";"2";;"8.41000";"0.59000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"fcd41eaa-c8f2-4b19-8712-2354ca0f35b1";"2";"2";;"9.35000";"0.65000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"fcd41eaa-c8f2-4b19-8712-2354ca0f35b1";"1";"2";;"9.35000";"0.65000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"21b00158-0bf2-46ed-b2d0-d23e24eb03f9";"3";"2";;"2.34000";"0.16000"
