"Z_KASSE_ID";"Z_ERSTELLUNG";"Z_NR";"ZAHLART_TYP";"ZAHLART_NAME";"Z_ZAHLART_BETRAG"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"Bar";;"65.01"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"Unbar";;"389.74"
