"Z_KASSE_ID";"Z_ERSTELLUNG";"Z_NR";"BON_ID";"POS_ZEILE";"GUTSCHEIN_NR";"ARTIKELTEXT";"POS_TERMINAL_ID";"GV_TYP";"GV_NAME";"INHAUS";"P_STORNO";"AGENTUR_ID";"ART_NR";"GTIN";"WARENGR_ID";"WARENGR";"MENGE";"FAKTOR";"EINHEIT";"STK_BR"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"9a9e2a00-764a-4f51-8332-21a34078a9f6";"2";;"Pommes Frites";;"Umsatz";;"1";"0";"0";"47826849";;;;"1.000";;;"4.00000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"9a9e2a00-764a-4f51-8332-21a34078a9f6";"1";;"Veggie Mandu(Dumplings) 8 st";;"Umsatz";;"1";"0";"0";"48665392";;;;"2.000";;;"7.50000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"289fa806-7128-482c-8f17-c35dcd373df3";"1";;"BongBong 238ml";;"Umsatz";;"1";"0";"0";"48588040";;;;"1.000";;;"3.70000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"1b8671eb-b559-478e-a396-8dfff4d629f9";"3";;"BongBong 238ml";;"Umsatz";;"1";"0";"0";"48588040";;;;"1.000";;;"3.70000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"1b8671eb-b559-478e-a396-8dfff4d629f9";"2";;"Pommes Frites";;"Umsatz";;"1";"0";"0";"47826849";;;;"1.000";;;"4.00000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"1b8671eb-b559-478e-a396-8dfff4d629f9";"1";;"Pilsner Wasteiner 0.33L";;"Umsatz";;"1";"0";"0";"49832522";;;;"1.000";;;"3.00000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"c14e5b54-92c4-40ed-914b-9c17f1d66063";"1";;"Basak Ramyeon";;"Umsatz";;"1";"0";"0";"47804263";;;;"1.000";;;"8.50000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"112a16fa-456b-486f-9ac4-54bc0ab10bd2";"2";;"FireMelt(Hausgemacht)";;"Umsatz";;"1";"0";"0";"48749410";;;;"1.000";;;"2.50000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"112a16fa-456b-486f-9ac4-54bc0ab10bd2";"1";;"Trüffel Mayo(Hausgemacht)";;"Umsatz";;"1";"0";"0";"47826950";;;;"1.000";;;"3.00000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"a35e686d-df93-41e4-851f-aa692401b0f5";"1";;"Pommes Frites";;"Umsatz";;"1";"0";"0";"47826849";;;;"1.000";;;"7.00000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"b159554a-b4b3-42ec-ae34-7a6bb094a4a5";"5";;"Gochujang Mayo(Hausgemacht)";;"Umsatz";;"1";"0";"0";"47826959";;;;"1.000";;;"2.50000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"b159554a-b4b3-42ec-ae34-7a6bb094a4a5";"4";;"Trüffel Mayo(Hausgemacht)";;"Umsatz";;"1";"0";"0";"47826950";;;;"1.000";;;"3.00000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"b159554a-b4b3-42ec-ae34-7a6bb094a4a5";"3";;"Pommes Frites";;"Umsatz";;"1";"0";"0";"47826849";;;;"1.000";;;"4.00000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"b159554a-b4b3-42ec-ae34-7a6bb094a4a5";"2";;"Fried Chicken Pop (ohne Soße)";;"Umsatz";;"1";"0";"0";"47844903";;;;"1.000";;;"9.00000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"b159554a-b4b3-42ec-ae34-7a6bb094a4a5";"1";;"Chicken Pop Cream Lemon";;"Umsatz";;"1";"0";"0";"47844552";;;;"1.000";;;"11.00000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"6b1b3d1b-9072-4136-8cb9-b5bcfe28ffbd";"4";;"Capri Sun";;"Umsatz";;"1";"0";"0";"49549663";;;;"2.000";;;"1.50000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"6b1b3d1b-9072-4136-8cb9-b5bcfe28ffbd";"3";;"Wasser (mit Kohlensäure)";;"Umsatz";;"1";"0";"0";"49474536";;;;"1.000";;;"2.00000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"6b1b3d1b-9072-4136-8cb9-b5bcfe28ffbd";"2";;"Chicken Pop Yangnyoem";;"Umsatz";;"1";"0";"0";"47844540";;;;"1.000";;;"11.00000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"6b1b3d1b-9072-4136-8cb9-b5bcfe28ffbd";"1";;"Chicken Pop Cream Lemon";;"Umsatz";;"1";"0";"0";"47844552";;;;"1.000";;;"11.00000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"4990fe12-6c7d-40e4-9750-5dd484921eb6";"3";;"Wasser (still)";;"Umsatz";;"1";"0";"0";"49474534";;;;"1.000";;;"2.00000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"4990fe12-6c7d-40e4-9750-5dd484921eb6";"2";;"Tteokbokki";;"Umsatz";;"1";"0";"0";"47790564";;;;"1.000";;;"11.50000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"4990fe12-6c7d-40e4-9750-5dd484921eb6";"1";;"Chicken Wing Soy Garlic";;"Umsatz";;"1";"0";"0";"47844557";;;;"1.000";;;"14.50000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"1bb3392d-001b-4964-99cf-572d970fbcc2";"6";;"Chicken-Mu";;"Umsatz";;"1";"0";"0";"49604511";;;;"1.000";;;"2.00000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"1bb3392d-001b-4964-99cf-572d970fbcc2";"5";;"Fanta";;"Umsatz";;"1";"0";"0";"48657216";;;;"1.000";;;"3.70000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"1bb3392d-001b-4964-99cf-572d970fbcc2";"4";;"COCA COLA Zero";;"Umsatz";;"1";"0";"0";"48657214";;;;"1.000";;;"3.70000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"1bb3392d-001b-4964-99cf-572d970fbcc2";"3";;"Chicken Pop Cream Lemon";;"Umsatz";;"1";"0";"0";"47844552";;;;"1.000";;;"11.00000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"1bb3392d-001b-4964-99cf-572d970fbcc2";"2";;"Chicken Pop Soy Garlic";;"Umsatz";;"1";"0";"0";"47844544";;;;"1.000";;;"11.00000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-14T20:57:15Z";"39";"1bb3392d-001b-4964-99cf-572d970fbcc2";"1";;"Chicken Pop Yangnyoem";;"Umsatz";;"1";"0";"0";"47844540";;;;"1.000";;;"11.00000"
