"Z_KASSE_ID";"Z_ERSTELLUNG";"Z_NR";"BON_ID";"ZAHLART_TYP";"ZAHLART_NAME";"ZAHLWAEH_CODE";"ZAHLWAEH_BETRAG";"BASISWAEH_BETRAG"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"a76b9028-bb23-4156-a230-d204b7e27289";"Unbar";;"EUR";;"29.50"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"5cadfb2d-b412-47cb-9380-aa833dc1dc54";"Bar";;"EUR";;"15.50"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"e03ea992-94af-4a4f-b2ce-9563b9898c72";"Unbar";;"EUR";;"12.10"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"82d893ad-b6c0-44bc-b8c5-0df5123f65c0";"Unbar";;"EUR";;"11.50"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"9ed52ebb-aa16-4fae-b215-131a86a03dee";"Unbar";;"EUR";;"26.50"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"fd1ffa5f-790e-465e-8905-5f649614c74f";"Unbar";;"EUR";;"15.50"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"9a87bbf2-00ec-4311-8876-3c2be0ed3305";"Unbar";;"EUR";;"2.50"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"bf994ac4-3d59-4e36-bf65-c10a6188b4c0";"Bar";;"EUR";;"15.50"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"77598291-2fbf-4397-b312-69dad98d8dd7";"Bar";;"EUR";;"-26.50"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"77598291-2fbf-4397-b312-69dad98d8dd7";"Bar";;"EUR";;"100.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"586ba944-8f8e-469f-bb01-87ac0518969f";"Unbar";;"EUR";;"15.50"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"f77a65e5-635d-4e6e-8aa8-725239d1d6d5";"Unbar";;"EUR";;"22.20"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"0b1fc7f0-a151-497e-a7be-8dc6290afcb2";"Unbar";;"EUR";;"16.50"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"f32ecb6f-e322-4695-98c4-2ec9de0d5ff9";"Unbar";;"EUR";;"25.85"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"2e0df4de-890c-430c-b174-cc2671d7dd57";"Unbar";;"EUR";;"7.80"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"c929667c-2b2e-41eb-8ccd-12d7443265f2";"Bar";;"EUR";;"-4.50"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"c929667c-2b2e-41eb-8ccd-12d7443265f2";"Bar";;"EUR";;"20.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"3efb912f-d42b-45b2-b2cf-fa69c2e74757";"Unbar";;"EUR";;"38.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"d5b23d86-c47a-4689-ac9b-30543c4545f1";"Bar";;"EUR";;"-8.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"d5b23d86-c47a-4689-ac9b-30543c4545f1";"Bar";;"EUR";;"20.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"bb206c3b-770c-43e8-b526-ab7ae3c0df2f";"Bar";;"EUR";;"-10.20"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"bb206c3b-770c-43e8-b526-ab7ae3c0df2f";"Bar";;"EUR";;"20.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"15b03cd6-c423-4a13-916e-9d96f7e54b6c";"Unbar";;"EUR";;"13.30"
