"Z_KASSE_ID";"Z_ERSTELLUNG";"Z_NR";"BON_ID";"POS_ZEILE";"GUTSCHEIN_NR";"ARTIKELTEXT";"POS_TERMINAL_ID";"GV_TYP";"GV_NAME";"INHAUS";"P_STORNO";"AGENTUR_ID";"ART_NR";"GTIN";"WARENGR_ID";"WARENGR";"MENGE";"FAKTOR";"EINHEIT";"STK_BR"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"a76b9028-bb23-4156-a230-d204b7e27289";"4";;"Gochujang Mayo(Hausgemacht)";;"Umsatz";;"1";"0";"0";"47826959";;;;"1.000";;;"2.50000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"a76b9028-bb23-4156-a230-d204b7e27289";"3";;"Yangneom(Hausgemacht)";;"Umsatz";;"1";"0";"0";"47790565";;;;"1.000";;;"2.50000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"a76b9028-bb23-4156-a230-d204b7e27289";"2";;"Japchae Mandu(Dumplings) 8 st";;"Umsatz";;"1";"0";"0";"48665379";;;;"1.000";;;"11.00000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"a76b9028-bb23-4156-a230-d204b7e27289";"1";;"Fried Chicken Pop (ohne Soße)";;"Umsatz";;"1";"0";"0";"47844903";;;;"1.000";;;"13.50000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"5cadfb2d-b412-47cb-9380-aa833dc1dc54";"1";;"Chicken Pop Yangnyoem";;"Umsatz";;"1";"0";"0";"47844540";;;;"1.000";;;"15.50000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"e03ea992-94af-4a4f-b2ce-9563b9898c72";"1";;"Chicken Pop Soy Garlic";;"Umsatz";;"1";"0";"0";"47844544";;;;"1.000";;;"11.00000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"82d893ad-b6c0-44bc-b8c5-0df5123f65c0";"1";;"Tteokbokki";;"Umsatz";;"1";"0";"0";"47790564";;;;"1.000";;;"11.50000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"9ed52ebb-aa16-4fae-b215-131a86a03dee";"2";;"Chicken Pop Cream Lemon";;"Umsatz";;"1";"0";"0";"47844552";;;;"1.000";;;"11.00000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"9ed52ebb-aa16-4fae-b215-131a86a03dee";"1";;"Chicken Pop Yangnyoem";;"Umsatz";;"1";"0";"0";"47844540";;;;"1.000";;;"15.50000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"fd1ffa5f-790e-465e-8905-5f649614c74f";"1";;"Chicken Pop Cream Lemon";;"Umsatz";;"1";"0";"0";"47844552";;;;"1.000";;;"15.50000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"9a87bbf2-00ec-4311-8876-3c2be0ed3305";"1";;"FireMelt(Hausgemacht)";;"Umsatz";;"1";"0";"0";"48749410";;;;"1.000";;;"2.50000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"bf994ac4-3d59-4e36-bf65-c10a6188b4c0";"1";;"Chicken Pop Cream Lemon";;"Umsatz";;"1";"0";"0";"47844552";;;;"1.000";;;"15.50000"
