"Z_KASSE_ID";"Z_ERSTELLUNG";"Z_NR";"GV_TYP";"GV_NAME";"AGENTUR_ID";"UST_SCHLUESSEL";"Z_UMS_BRUTTO";"Z_UMS_NETTO";"Z_UST"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-10T11:09:10Z";"34";"Umsatz";;"0";"2";"236.80000";"221.33000";"15.47000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-10T11:09:10Z";"34";"Umsatz";;"0";"1";"47.60000";"40.00000";"7.60000"
