"Z_KASSE_ID";"Z_ERSTELLUNG";"Z_NR";"ZAHLART_TYP";"ZAHLART_NAME";"Z_ZAHLART_BETRAG"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-10T11:09:10Z";"34";"Bar";;"157.70"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-10T11:09:10Z";"34";"Unbar";;"130.30"
