"Z_KASSE_ID";"Z_ERSTELLUNG";"Z_NR";"BON_ID";"ZAHLART_TYP";"ZAHLART_NAME";"ZAHLWAEH_CODE";"ZAHLWAEH_BETRAG";"BASISWAEH_BETRAG"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-23T19:01:04Z";"46";"de5555e4-28f4-446e-8d00-1095e4fbae6e";"Unbar";;"EUR";;"14.50"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-23T19:01:04Z";"46";"a26bf558-2176-4733-beb0-35b87396f329";"Unbar";;"EUR";;"24.70"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-23T19:01:04Z";"46";"20e419e0-c54a-4457-98b8-a7a98c2838d5";"Unbar";;"EUR";;"31.20"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-23T19:01:04Z";"46";"0a7d2c1c-6641-4f9a-8eb0-7700444d3c42";"Bar";;"EUR";;"2.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-23T19:01:04Z";"46";"aea6f0d6-88c6-411f-95e0-c5b875a8de23";"Bar";;"EUR";;"-6.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-23T19:01:04Z";"46";"aea6f0d6-88c6-411f-95e0-c5b875a8de23";"Bar";;"EUR";;"10.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-23T19:01:04Z";"46";"b15a4afb-48a0-4be9-8a83-68b1b001e762";"Unbar";;"EUR";;"42.57"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-23T19:01:04Z";"46";"7b3f2a13-ef2a-44a1-a820-8f5ce769861f";"Bar";;"EUR";;"-8.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-23T19:01:04Z";"46";"7b3f2a13-ef2a-44a1-a820-8f5ce769861f";"Bar";;"EUR";;"20.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-23T19:01:04Z";"46";"4f85e7d5-4fda-456c-9178-0275f012a239";"Unbar";;"EUR";;"17.70"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-23T19:01:04Z";"46";"cc71468a-389f-4d17-951a-09d766afc669";"Unbar";;"EUR";;"11.50"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-23T19:01:04Z";"46";"cc71468a-389f-4d17-951a-09d766afc669";"Unbar";;"EUR";;"10.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-23T19:01:04Z";"46";"a81fe578-fbda-46b1-a1b9-eae255d5e186";"Unbar";;"EUR";;"11.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-23T19:01:04Z";"46";"64242262-19a5-48ad-8f78-25f5b2db346b";"Unbar";;"EUR";;"23.50"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-23T19:01:04Z";"46";"64242262-19a5-48ad-8f78-25f5b2db346b";"Unbar";;"EUR";;"23.50"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-23T19:01:04Z";"46";"d90ca3db-e3e4-4307-a998-062cd81f8c32";"Unbar";;"EUR";;"30.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-23T19:01:04Z";"46";"84cc704b-8946-4947-8692-3e0b12c093c0";"Unbar";;"EUR";;"20.50"
