"Z_KASSE_ID";"Z_ERSTELLUNG";"Z_NR";"BON_ID";"UST_SCHLUESSEL";"BON_BRUTTO";"BON_NETTO";"BON_UST"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-23T19:01:04Z";"46";"de5555e4-28f4-446e-8d00-1095e4fbae6e";"2";"14.50";"13.55";"0.95"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-23T19:01:04Z";"46";"a26bf558-2176-4733-beb0-35b87396f329";"1";"3.70";"3.11";"0.59"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-23T19:01:04Z";"46";"a26bf558-2176-4733-beb0-35b87396f329";"2";"21.00";"19.63";"1.37"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-23T19:01:04Z";"46";"20e419e0-c54a-4457-98b8-a7a98c2838d5";"1";"3.70";"3.11";"0.59"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-23T19:01:04Z";"46";"20e419e0-c54a-4457-98b8-a7a98c2838d5";"2";"27.50";"25.71";"1.79"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-23T19:01:04Z";"46";"0a7d2c1c-6641-4f9a-8eb0-7700444d3c42";"2";"2.00";"1.86";"0.14"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-23T19:01:04Z";"46";"aea6f0d6-88c6-411f-95e0-c5b875a8de23";"1";"4.00";"3.36";"0.64"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-23T19:01:04Z";"46";"b15a4afb-48a0-4be9-8a83-68b1b001e762";"1";"5.70";"4.79";"0.91"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-23T19:01:04Z";"46";"b15a4afb-48a0-4be9-8a83-68b1b001e762";"2";"33.00";"30.84";"2.16"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-23T19:01:04Z";"46";"7b3f2a13-ef2a-44a1-a820-8f5ce769861f";"2";"12.00";"11.21";"0.79"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-23T19:01:04Z";"46";"4f85e7d5-4fda-456c-9178-0275f012a239";"1";"3.70";"3.11";"0.59"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-23T19:01:04Z";"46";"4f85e7d5-4fda-456c-9178-0275f012a239";"2";"14.00";"13.08";"0.92"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-23T19:01:04Z";"46";"cc71468a-389f-4d17-951a-09d766afc669";"2";"10.00";"9.35";"0.65"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-23T19:01:04Z";"46";"a81fe578-fbda-46b1-a1b9-eae255d5e186";"1";"2.00";"1.68";"0.32"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-23T19:01:04Z";"46";"a81fe578-fbda-46b1-a1b9-eae255d5e186";"2";"8.00";"7.48";"0.52"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-23T19:01:04Z";"46";"64242262-19a5-48ad-8f78-25f5b2db346b";"1";"8.00";"6.72";"1.28"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-23T19:01:04Z";"46";"64242262-19a5-48ad-8f78-25f5b2db346b";"2";"15.50";"14.49";"1.01"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-23T19:01:04Z";"46";"d90ca3db-e3e4-4307-a998-062cd81f8c32";"2";"30.00";"28.04";"1.96"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-23T19:01:04Z";"46";"84cc704b-8946-4947-8692-3e0b12c093c0";"2";"20.50";"19.16";"1.34"
