"Z_KASSE_ID";"Z_ERSTELLUNG";"Z_NR";"BON_ID";"POS_ZEILE";"GUTSCHEIN_NR";"ARTIKELTEXT";"POS_TERMINAL_ID";"GV_TYP";"GV_NAME";"INHAUS";"P_STORNO";"AGENTUR_ID";"ART_NR";"GTIN";"WARENGR_ID";"WARENGR";"MENGE";"FAKTOR";"EINHEIT";"STK_BR"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-05-10T10:37:23Z";"17";"5256c1a7-933c-490b-98d3-5eb7ca5a9e97";"1";;"Fried Chicken Pop (ohne Soße)";;"Umsatz";;"1";"0";"0";"47844903";;;;"1.000";;;"13.50000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-05-10T10:37:23Z";"17";"13ff7b94-20ce-42e1-917d-490bc6cff19f";"1";;"Tteokbokki";;"Umsatz";;"1";"0";"0";"47790564";;;;"2.000";;;"8.50000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-05-10T10:37:23Z";"17";"88efa286-0ee0-4e16-a2de-29007e114edc";"4";;"Bibim Gun Mandu 6 st (mit Salat)";;"Umsatz";;"1";"0";"0";"48759719";;;;"1.000";;;"9.80000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-05-10T10:37:23Z";"17";"88efa286-0ee0-4e16-a2de-29007e114edc";"3";;"Chicken Pop Soy Garlic";;"Umsatz";;"1";"0";"0";"47844544";;;;"1.000";;;"11.00000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-05-10T10:37:23Z";"17";"88efa286-0ee0-4e16-a2de-29007e114edc";"2";;"Chicken Wing Yangnyoem";;"Umsatz";;"1";"0";"0";"47844555";;;;"1.000";;;"10.00000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-05-10T10:37:23Z";"17";"88efa286-0ee0-4e16-a2de-29007e114edc";"1";;"Chicken Wing Cream Lemon";;"Umsatz";;"1";"0";"0";"47844689";;;;"1.000";;;"10.00000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-05-10T10:37:23Z";"17";"f1ae7780-618b-4685-bfd3-4ad09fe1a4e1";"6";;"COCA COLA Zero";;"Umsatz";;"1";"0";"0";"48657214";;;;"1.000";;;"3.70000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-05-10T10:37:23Z";"17";"f1ae7780-618b-4685-bfd3-4ad09fe1a4e1";"5";;"COCA COLA Zero";;"Umsatz";;"1";"0";"0";"48657214";;;;"1.000";;;"3.70000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-05-10T10:37:23Z";"17";"f1ae7780-618b-4685-bfd3-4ad09fe1a4e1";"4";;"COCA COLA Zero";;"Umsatz";;"1";"0";"0";"48657214";;;;"1.000";;;"3.70000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-05-10T10:37:23Z";"17";"f1ae7780-618b-4685-bfd3-4ad09fe1a4e1";"3";;"Chicken Pop Cream Lemon";;"Umsatz";;"1";"0";"0";"47844552";;;;"1.000";;;"11.00000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-05-10T10:37:23Z";"17";"f1ae7780-618b-4685-bfd3-4ad09fe1a4e1";"2";;"Chicken Pop Soy Garlic";;"Umsatz";;"1";"0";"0";"47844544";;;;"1.000";;;"11.00000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-05-10T10:37:23Z";"17";"f1ae7780-618b-4685-bfd3-4ad09fe1a4e1";"1";;"Chicken Pop Yangnyoem";;"Umsatz";;"1";"0";"0";"47844540";;;;"1.000";;;"11.00000"
