"Z_KASSE_ID";"Z_ERSTELLUNG";"Z_NR";"BON_ID";"TSE_ID";"TSE_TANR";"TSE_TA_START";"TSE_TA_ENDE";"TSE_TA_VORGANGSART";"TSE_TA_SIGZ";"TSE_TA_SIG";"TSE_TA_FEHLER";"TSE_VORGANGSDATEN"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-13T18:16:41Z";"38";"61b0ac6a-2421-4f93-b47b-694a31c7e931";"1";"1001";"2025-06-13T10:01:54.000Z";"2025-06-13T10:03:31.000Z";"Kassenbeleg-V1";"3415";"mZT+0gp0Ar7ZxRhluoLhapB8IMq1NaZBeDe4YKM5r7NTbCln++AO0MGk73or/HKdTSlfXYJAPkRpdCkkIGgzng==";;"Beleg^3.70_19.50_0.00_0.00_0.00^23.20:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-13T18:16:41Z";"38";"1c4f2876-913a-432c-9ea0-81d609edaead";"1";"999";"2025-06-13T10:00:50.000Z";"2025-06-13T10:05:33.000Z";"Kassenbeleg-V1";"3417";"Ylc0RZtfnXlLzNeAYLNy3l9d4uKbYgZIBkRW9kSgkWc+tW/nvkC6cPTFPP2ZCjP5Oc/r7NwQrZqatJtBxbXp0A==";;"Beleg^7.40_20.00_0.00_0.00_2.74^30.14:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-13T18:16:41Z";"38";"b8f28d04-81f8-45bd-abed-3445e06388b8";"1";"1003";"2025-06-13T10:15:34.000Z";"2025-06-13T10:15:46.000Z";"Kassenbeleg-V1";"3422";"6l/5co/2Q/kEnE0ENd8TLzDszOYfIDpxPPDh+fAQFANP4uE7t++AmTZLFEUATMDaKzIugXQ/9p13UHhNb0DaQw==";;"Beleg^0.00_15.50_0.00_0.00_0.00^15.50:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-13T18:16:41Z";"38";"30f8cf56-786d-46c8-8099-56c9275f7cd0";"1";"1005";"2025-06-13T10:17:34.000Z";"2025-06-13T10:17:47.000Z";"Kassenbeleg-V1";"3427";"l0uAmBxFdrXSoyFgqlXuvJ84KPaQK/iGicHpkQE375p14O4uTnRR0LILJjy0bv8rz54Pm4yvxxX5Oc4VUE7E/Q==";;"Beleg^0.00_19.50_0.00_0.00_0.00^19.50:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-13T18:16:41Z";"38";"a624d721-d898-4a51-a46b-c7e2e0059c53";"1";"1007";"2025-06-13T10:22:20.000Z";"2025-06-13T10:22:58.000Z";"Kassenbeleg-V1";"3432";"tVmM2+qHhid0bHhdHKD2tquEkvoq0q/yTbbsfCkgeMQEjns6HF1bIOOl5HKXgLvGCoBK2GrA3LG9IZTWoH4u5Q==";;"Beleg^0.00_7.50_0.00_0.00_0.00^7.50:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-13T18:16:41Z";"38";"ab82bf08-0ee7-445a-8923-5e5ec45004d2";"1";"1009";"2025-06-13T10:48:54.000Z";"2025-06-13T10:48:59.000Z";"Kassenbeleg-V1";"3437";"+0FQnwGsoneLjWrooEQFaOD8bv0xUuze5oIs2EzlQ8k7QiresTw06J6LKk1DO141HGARNQeHNbg0cgOB20g5Fw==";;"Beleg^0.00_11.00_0.00_0.00_0.00^11.00:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-13T18:16:41Z";"38";"23c74578-2083-4c3e-b311-a1e5a0fffd0e";"1";"1011";"2025-06-13T11:02:07.000Z";"2025-06-13T11:04:04.000Z";"Kassenbeleg-V1";"3443";"JWCX8w7Fnvfhuw35WUBvfTapagvcARKX5htswcHCFOuXUr2/n5DfMeSIDBh5fj64NlqWsQ4eW4SrRbWOCNWKRg==";;"Beleg^0.00_18.50_0.00_0.00_1.85^20.35:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-13T18:16:41Z";"38";"65ba3e3a-6965-4d23-9ec1-a14a7054ce72";"1";"1013";"2025-06-13T11:10:05.000Z";"2025-06-13T11:11:02.000Z";"Kassenbeleg-V1";"3449";"7xzQ8LTBH5qyyjxjumNXH7h3q3zrE+ZQf1niFijzItS2YhUAVfA2B4j1CN2aBEhCBGPHNSUmyMwk/8+We6baBA==";;"Beleg^0.00_16.50_0.00_0.00_0.00^16.50:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-13T18:16:41Z";"38";"765ecb0b-f039-4a36-a0fc-0a34c0064b62";"1";"1015";"2025-06-13T11:14:19.000Z";"2025-06-13T11:27:43.000Z";"Kassenbeleg-V1";"3460";"H8TCiRjiGHHMrPqxjK11343IWtvKrIizCLYIbThjRavtrLeUHEVRhpIOqki8pGAAGjHpSX/9Mr2U0ZKy++vFbw==";;"Beleg^0.00_19.00_0.00_0.00_0.00^19.00:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-13T18:16:41Z";"38";"6dce0358-6211-4064-be54-1f55fbc6b075";"1";"1017";"2025-06-13T12:47:20.000Z";"2025-06-13T12:47:47.000Z";"Kassenbeleg-V1";"3465";"jigbdgonOD53iq5VeDk/EyzBf2p565R7JU7Sp9L4o69pi2+JxauhJyFzJeIGYbB0SVvCodtR4IN5P3YGMxMD1A==";;"Beleg^0.00_10.00_0.00_0.00_0.00^10.00:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-13T18:16:41Z";"38";"7342c7c2-7487-4e12-a826-78a842c53df2";"1";"1019";"2025-06-13T13:27:51.000Z";"2025-06-13T13:29:36.000Z";"Kassenbeleg-V1";"3472";"2FIO6zR7BEklEvXFGyAVFQkXm/Ua8d2K7ArbApzZhvfTQF6vEsgm1XluX+teYX1G1vM2z94OMIBRYtO/ZcJ3wA==";;"Beleg^3.70_19.00_0.00_0.00_0.00^22.70:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-13T18:16:41Z";"38";"f55d79bd-6ad9-4e3f-aa23-d5f58eb299d7";"1";"1021";"2025-06-13T15:11:53.000Z";"2025-06-13T15:12:59.000Z";"Kassenbeleg-V1";"3480";"TEK0MqmOBjjZyIg1DaMxdIrS/DOqMIul9A89I4iNBLzbTK49ckJ0RneJVaIdXQ+schCzsXxBCpDdV62cWWHMXg==";;"Beleg^0.00_35.00_0.00_0.00_0.00^35.00:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-13T18:16:41Z";"38";"d1f0722c-09e8-4827-b626-d0f3bf2fdbc3";"1";"1023";"2025-06-13T15:33:33.000Z";"2025-06-13T15:35:15.000Z";"Kassenbeleg-V1";"3487";"4gaOg6OQ+Kc+2V7vKjsHRIcP72wD+05xqwKCRkPcfFasEjBzPHBIIyaZL4ve+utqilwxW976uMUSlU7yn82gfg==";;"Beleg^0.00_19.00_0.00_0.00_0.00^19.00:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-13T18:16:41Z";"38";"eae1db88-78a4-4af7-905d-98bdff4e0d87";"1";"1025";"2025-06-13T15:47:17.000Z";"2025-06-13T15:50:03.000Z";"Kassenbeleg-V1";"3500";"vMTGSx7hCtIVn4LcqpGQzrLq1YZaPcjsOmazO2Ahdd2GxxgQL4RbEr5GxfkrI0r/EJM/mTBNae/k8JLlgrHwCw==";;"Beleg^13.00_39.50_0.00_0.00_5.25^57.75:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-13T18:16:41Z";"38";"eca88782-1ae4-4676-89c4-315106ce3184";"1";"1027";"2025-06-13T17:21:18.000Z";"2025-06-13T17:22:22.000Z";"Kassenbeleg-V1";"3505";"+g3Ay+6bdW8QRDfTLTAtlkNjy2inxCp5EBwPIHds1hiPqsexZ3svVFuTij7m9zJfuy9litWb4fXWSVJYRhTl6Q==";;"Beleg^0.00_13.50_0.00_0.00_1.35^14.85:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-13T18:16:41Z";"38";"257ea6d2-c1aa-4867-a86c-3592f595e06d";"1";"1029";"2025-06-13T17:34:53.000Z";"2025-06-13T17:34:56.000Z";"Kassenbeleg-V1";"3510";"nJ/ZX6Ikv+ohzrKLmN0zqCRyc7MczbgX+XLzYzfPvjGLqByRwT0JnUhQBUjI1vUTDojgO5fWZAf0GKK99nEKMg==";;"Beleg^0.00_11.00_0.00_0.00_0.00^11.00:Unbar"
