"Z_KASSE_ID";"Z_ERSTELLUNG";"Z_NR";"BON_ID";"ZAHLART_TYP";"ZAHLART_NAME";"ZAHLWAEH_CODE";"ZAHLWAEH_BETRAG";"BASISWAEH_BETRAG"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"1d001cd4-56b8-4175-8234-ec2d86303bb4";"Bar";;"EUR";;"-72.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"1d001cd4-56b8-4175-8234-ec2d86303bb4";"Bar";;"EUR";;"80.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"62b80d10-a7e0-40d4-8d83-307ad322e023";"Unbar";;"EUR";;"28.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"a032fe35-3169-43e0-8854-e5d4daf68077";"Unbar";;"EUR";;"55.90"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"a12fe885-5258-4944-823b-d685168cc99b";"Unbar";;"EUR";;"9.70"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"6f120050-6e92-441a-a374-83d471a161b0";"Unbar";;"EUR";;"32.50"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"717554b9-8b6f-4c9e-89ea-de35c286737c";"Unbar";;"EUR";;"12.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"eb9a63e7-1ba7-46c8-94e9-22840ee8713d";"Bar";;"EUR";;"-7.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"eb9a63e7-1ba7-46c8-94e9-22840ee8713d";"Bar";;"EUR";;"50.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"24b1c1eb-ab30-4a4a-ac80-3e82d303c084";"Unbar";;"EUR";;"50.05"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"6417d334-8826-476b-b124-ddb7d754af6d";"Unbar";;"EUR";;"30.50"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"4d2699c4-9023-4da5-97f9-ff0c3a4a8b67";"Unbar";;"EUR";;"7.50"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"6027a88f-4d00-49f3-b530-ec829f1f7551";"Unbar";;"EUR";;"11.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"22537630-575f-4566-9f7b-6b2c0744728b";"Unbar";;"EUR";;"17.05"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"22537630-575f-4566-9f7b-6b2c0744728b";"Unbar";;"EUR";;"15.50"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"4c228d56-0389-4791-9e23-210e46c5ac1b";"Unbar";;"EUR";;"29.15"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"a7d1df5f-2963-49ec-abbc-814722934327";"Unbar";;"EUR";;"37.90"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"ddec24f9-5ace-4103-9668-760379a12242";"Unbar";;"EUR";;"13.70"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"054fd11e-71c0-48b2-87ec-14a3516387f8";"Unbar";;"EUR";;"11.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"48e0fae7-55e3-4765-8069-f2fe1fa27c0d";"Unbar";;"EUR";;"29.92"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"48e0fae7-55e3-4765-8069-f2fe1fa27c0d";"Unbar";;"EUR";;"26.20"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"822da3b5-68c1-4cb4-8eb0-f6e7c4aea4e2";"Unbar";;"EUR";;"15.70"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"9b7e09ac-f7e0-445c-9d89-53f97287a8b6";"Bar";;"EUR";;"-1.20"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"9b7e09ac-f7e0-445c-9d89-53f97287a8b6";"Bar";;"EUR";;"22.00"
