"Z_KASSE_ID";"Z_ERSTELLUNG";"Z_NR";"BON_ID";"TSE_ID";"TSE_TANR";"TSE_TA_START";"TSE_TA_ENDE";"TSE_TA_VORGANGSART";"TSE_TA_SIGZ";"TSE_TA_SIG";"TSE_TA_FEHLER";"TSE_VORGANGSDATEN"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"9b7e09ac-f7e0-445c-9d89-53f97287a8b6";"1";"1505";"2025-06-26T10:01:57.000Z";"2025-06-26T10:03:02.000Z";"Kassenbeleg-V1";"4999";"wLm3Qd12fz/7kiMXi0AtbKvigBCLspGd+sedmH+Qzxte/Zm7kkE/Z5q1j6MBwaNr0wf0iIsud19r+y5j8fXShg==";;"Beleg^0.00_20.80_0.00_0.00_0.00^20.80:Bar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"822da3b5-68c1-4cb4-8eb0-f6e7c4aea4e2";"1";"1507";"2025-06-26T10:34:13.000Z";"2025-06-26T10:35:48.000Z";"Kassenbeleg-V1";"5005";"dormtcNSpYoIC4AmoMGSXrm+Ih501at81lKYimfUzLyDbGWQRTQ7mPjiCTthFymZbVs5JN8BqO5622WCALW9Fg==";;"Beleg^3.70_12.00_0.00_0.00_0.00^15.70:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"48e0fae7-55e3-4765-8069-f2fe1fa27c0d";"1";"1509";"2025-06-26T10:59:55.000Z";"2025-06-26T11:01:29.000Z";"Kassenbeleg-V1";"5014";"joGJxWjCulA7cel9SrUlo7yiim9M1c5OMw9MYtuwrpactNd5p+l5ER50Gbp2RcVMbY0QFJBBFppGj/4/HRV7Tg==";;"Beleg^3.70_23.50_0.00_0.00_2.72^29.92:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"054fd11e-71c0-48b2-87ec-14a3516387f8";"1";"1511";"2025-06-26T11:18:18.000Z";"2025-06-26T11:19:49.000Z";"Kassenbeleg-V1";"5021";"v0hpwe5sTi2+IHfjHDPfnr0xsnkn+q3IzhsUKXE3sV03mxgrwO8R1xuBC+rD6AcRhwEYW+5Ys0t7ARh9QKIihw==";;"Beleg^0.00_11.00_0.00_0.00_0.00^11.00:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"ddec24f9-5ace-4103-9668-760379a12242";"1";"1513";"2025-06-26T11:20:12.000Z";"2025-06-26T11:20:47.000Z";"Kassenbeleg-V1";"5027";"JH6/k2uydDtRl/NFPZO6AS1jUupb/VIWjSCb4Agf05qmcire6cBZE+qqwihkcpsN6xOPpZh7f4wKg1rZ+vV6yA==";;"Beleg^3.70_10.00_0.00_0.00_0.00^13.70:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"a7d1df5f-2963-49ec-abbc-814722934327";"1";"1515";"2025-06-26T11:45:06.000Z";"2025-06-26T11:45:10.000Z";"Kassenbeleg-V1";"5032";"ykH0dt7AJ2BfV0fbI1K6klBd5k06pdsj5EuU+rNyAuuf4CCNiPcyUbUTfBp2L3SfDiPenynwp4GmDIs52Ohhfg==";;"Beleg^7.40_30.50_0.00_0.00_0.00^37.90:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"4c228d56-0389-4791-9e23-210e46c5ac1b";"1";"1517";"2025-06-26T12:05:28.000Z";"2025-06-26T12:06:27.000Z";"Kassenbeleg-V1";"5040";"EC3/Lbpj3zyX+Wuhr8yhGa/EwzTCMJQrkX+tm4Ji4FwdK+Z8r4X/0+TiilcvtCbA8897ERqu1bLqHsiGooPYjQ==";;"Beleg^0.00_26.50_0.00_0.00_2.65^29.15:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"22537630-575f-4566-9f7b-6b2c0744728b";"1";"1519";"2025-06-26T12:26:45.000Z";"2025-06-26T12:27:51.000Z";"Kassenbeleg-V1";"5046";"bc0xhm7qkA2GubXOiTrZDdE2Ubz7L7dp5FUzkDiBbIcVoBS01EpB3oQFkNAkmjAT9RG0N44SafvLXeGl2TL10Q==";;"Beleg^0.00_15.50_0.00_0.00_1.55^17.05:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"6027a88f-4d00-49f3-b530-ec829f1f7551";"1";"1521";"2025-06-26T12:37:46.000Z";"2025-06-26T12:37:52.000Z";"Kassenbeleg-V1";"5051";"KxryrVXqaDk++mxCI0tJ8m7dsusMFFdsxQtt+ugx0ymUSOTQR3by3g0+EVK/5qeXk9LwVF4Ud0BD2vyl+S3dtQ==";;"Beleg^0.00_11.00_0.00_0.00_0.00^11.00:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"4d2699c4-9023-4da5-97f9-ff0c3a4a8b67";"1";"1523";"2025-06-26T12:38:26.000Z";"2025-06-26T12:38:29.000Z";"Kassenbeleg-V1";"5056";"kSU0NEI6rIkEvsmHJDZXBsDmnTrnNpDhsdWgCA3sVmkQRJkF7mkJK3BvaBjKwotPB119mEub4cFpmwPckdyLIg==";;"Beleg^0.00_7.50_0.00_0.00_0.00^7.50:Unbar"
