"Z_KASSE_ID";"Z_ERSTELLUNG";"Z_NR";"BON_ID";"POS_ZEILE";"ZI_ART_NR";"ZI_GTIN";"ZI_NAME";"ZI_WARENGR_ID";"ZI_WARENGR";"ZI_MENGE";"ZI_FAKTOR";"ZI_EINHEIT";"ZI_UST_SCHLUESSEL";"ZI_BASISPREIS_BRUTTO";"ZI_BASISPREIS_NETTO";"ZI_BASISPREIS_UST"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"822da3b5-68c1-4cb4-8eb0-f6e7c4aea4e2";"1";"48665115";;;;;"1.000";;;"2";"4.00000";"3.74000";"0.26000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"4c228d56-0389-4791-9e23-210e46c5ac1b";"1";"47798836";;;;;"1.000";;;"2";"4.50000";"4.21000";"0.29000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"4c228d56-0389-4791-9e23-210e46c5ac1b";"2";"47826859";;;;;"1.000";;;"2";"3.00000";"2.80000";"0.20000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"24b1c1eb-ab30-4a4a-ac80-3e82d303c084";"2";"47798836";;;;;"1.000";;;"2";"4.50000";"4.21000";"0.29000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"24b1c1eb-ab30-4a4a-ac80-3e82d303c084";"3";"47798836";;;;;"1.000";;;"2";"4.50000";"4.21000";"0.29000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"24b1c1eb-ab30-4a4a-ac80-3e82d303c084";"5";"47826859";;;;;"1.000";;;"2";"3.00000";"2.80000";"0.20000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"eb9a63e7-1ba7-46c8-94e9-22840ee8713d";"1";"47798836";;;;;"1.000";;;"2";"4.50000";"4.21000";"0.29000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"eb9a63e7-1ba7-46c8-94e9-22840ee8713d";"2";"47798836";;;;;"1.000";;;"2";"4.50000";"4.21000";"0.29000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"a032fe35-3169-43e0-8854-e5d4daf68077";"2";"47826772";;;;;"1.000";;;"2";"3.00000";"2.80000";"0.20000"
