"Z_KASSE_ID";"Z_ERSTELLUNG";"Z_NR";"BON_ID";"POS_ZEILE";"UST_SCHLUESSEL";"POS_BRUTTO";"POS_NETTO";"POS_UST"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-17T19:39:42Z";"41";"151a6628-f3fc-4baf-a53e-551e63b40b59";"1";"2";;"9.35000";"0.65000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-17T19:39:42Z";"41";"8206a10e-50e3-4164-a77c-7864e24b6aeb";"2";"2";;"5.14000";"0.36000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-17T19:39:42Z";"41";"8206a10e-50e3-4164-a77c-7864e24b6aeb";"1";"2";;"9.35000";"0.65000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-17T19:39:42Z";"41";"3ad634fd-7c5f-4bbf-9c4f-6c7fc38e7727";"4";"1";;"3.11000";"0.59000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-17T19:39:42Z";"41";"3ad634fd-7c5f-4bbf-9c4f-6c7fc38e7727";"3";"2";;"7.94000";"0.56000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-17T19:39:42Z";"41";"3ad634fd-7c5f-4bbf-9c4f-6c7fc38e7727";"2";"2";;"2.34000";"0.16000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-17T19:39:42Z";"41";"3ad634fd-7c5f-4bbf-9c4f-6c7fc38e7727";"1";"2";;"10.28000";"0.72000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-17T19:39:42Z";"41";"d132396a-0237-4a20-9024-4c08b8a8fd9e";"6";"2";;"2.80000";"0.20000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-17T19:39:42Z";"41";"d132396a-0237-4a20-9024-4c08b8a8fd9e";"5";"2";;"10.28000";"0.72000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-17T19:39:42Z";"41";"d132396a-0237-4a20-9024-4c08b8a8fd9e";"4";"2";;"3.74000";"0.26000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-17T19:39:42Z";"41";"d132396a-0237-4a20-9024-4c08b8a8fd9e";"3";"2";;"9.35000";"0.65000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-17T19:39:42Z";"41";"d132396a-0237-4a20-9024-4c08b8a8fd9e";"2";"2";;"2.34000";"0.16000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-17T19:39:42Z";"41";"d132396a-0237-4a20-9024-4c08b8a8fd9e";"1";"2";;"9.35000";"0.65000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-17T19:39:42Z";"41";"309a6be9-4414-420f-a0c2-a47ff24d1286";"2";"1";;"1.68000";"0.32000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-17T19:39:42Z";"41";"309a6be9-4414-420f-a0c2-a47ff24d1286";"1";"1";;"3.11000";"0.59000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-17T19:39:42Z";"41";"2b302b9d-7018-4327-aa1b-f109ed6c01b7";"3";"1";;"1.68000";"0.32000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-17T19:39:42Z";"41";"2b302b9d-7018-4327-aa1b-f109ed6c01b7";"2";"2";;"3.74000";"0.26000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-17T19:39:42Z";"41";"2b302b9d-7018-4327-aa1b-f109ed6c01b7";"1";"2";;"10.28000";"0.72000"
