"Z_KASSE_ID";"Z_ERSTELLUNG";"Z_NR";"BON_ID";"POS_ZEILE";"GUTSCHEIN_NR";"ARTIKELTEXT";"POS_TERMINAL_ID";"GV_TYP";"GV_NAME";"INHAUS";"P_STORNO";"AGENTUR_ID";"ART_NR";"GTIN";"WARENGR_ID";"WARENGR";"MENGE";"FAKTOR";"EINHEIT";"STK_BR"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-17T19:39:42Z";"41";"151a6628-f3fc-4baf-a53e-551e63b40b59";"1";;"Chicken Wing Cream Lemon";;"Umsatz";;"1";"0";"0";"47844689";;;;"1.000";;;"10.00000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-17T19:39:42Z";"41";"8206a10e-50e3-4164-a77c-7864e24b6aeb";"2";;"Sweet Potato Frites";;"Umsatz";;"1";"0";"0";"47826853";;;;"1.000";;;"5.50000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-17T19:39:42Z";"41";"8206a10e-50e3-4164-a77c-7864e24b6aeb";"1";;"Chicken Wing Cream Lemon";;"Umsatz";;"1";"0";"0";"47844689";;;;"1.000";;;"10.00000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-17T19:39:42Z";"41";"3ad634fd-7c5f-4bbf-9c4f-6c7fc38e7727";"4";;"COCA COLA Zero";;"Umsatz";;"1";"0";"0";"48657214";;;;"1.000";;;"3.70000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-17T19:39:42Z";"41";"3ad634fd-7c5f-4bbf-9c4f-6c7fc38e7727";"3";;"Tteokbokki";;"Umsatz";;"1";"0";"0";"47790564";;;;"1.000";;;"8.50000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-17T19:39:42Z";"41";"3ad634fd-7c5f-4bbf-9c4f-6c7fc38e7727";"2";;"Cream Lemon(Hausgemacht)";;"Umsatz";;"1";"0";"0";"47790567";;;;"1.000";;;"2.50000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-17T19:39:42Z";"41";"3ad634fd-7c5f-4bbf-9c4f-6c7fc38e7727";"1";;"Chicken Pop Yangnyoem";;"Umsatz";;"1";"0";"0";"47844540";;;;"1.000";;;"11.00000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-17T19:39:42Z";"41";"d132396a-0237-4a20-9024-4c08b8a8fd9e";"6";;"Trüffel Mayo(Hausgemacht)";;"Umsatz";;"1";"0";"0";"47826950";;;;"1.000";;;"3.00000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-17T19:39:42Z";"41";"d132396a-0237-4a20-9024-4c08b8a8fd9e";"5";;"Chicken Pop Cream Lemon";;"Umsatz";;"1";"0";"0";"47844552";;;;"1.000";;;"11.00000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-17T19:39:42Z";"41";"d132396a-0237-4a20-9024-4c08b8a8fd9e";"4";;"Pommes Frites";;"Umsatz";;"1";"0";"0";"47826849";;;;"1.000";;;"4.00000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-17T19:39:42Z";"41";"d132396a-0237-4a20-9024-4c08b8a8fd9e";"3";;"Chicken Wing Soy Garlic";;"Umsatz";;"1";"0";"0";"47844557";;;;"1.000";;;"10.00000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-17T19:39:42Z";"41";"d132396a-0237-4a20-9024-4c08b8a8fd9e";"2";;"Cream Lemon(Hausgemacht)";;"Umsatz";;"1";"1";"0";"47790567";;;;"1.000";;;"2.50000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-17T19:39:42Z";"41";"d132396a-0237-4a20-9024-4c08b8a8fd9e";"1";;"Chicken Wing Cream Lemon";;"Umsatz";;"1";"1";"0";"47844689";;;;"1.000";;;"10.00000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-17T19:39:42Z";"41";"309a6be9-4414-420f-a0c2-a47ff24d1286";"2";;"Wasser (still)";;"Umsatz";;"1";"0";"0";"49474534";;;;"1.000";;;"2.00000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-17T19:39:42Z";"41";"309a6be9-4414-420f-a0c2-a47ff24d1286";"1";;"COCA COLA";;"Umsatz";;"1";"0";"0";"47790569";;;;"1.000";;;"3.70000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-17T19:39:42Z";"41";"2b302b9d-7018-4327-aa1b-f109ed6c01b7";"3";;"Wasser (still)";;"Umsatz";;"1";"0";"0";"49474534";;;;"1.000";;;"2.00000"
