"Z_KASSE_ID";"Z_ERSTELLUNG";"Z_NR";"BON_ID";"POS_ZEILE";"ZI_ART_NR";"ZI_GTIN";"ZI_NAME";"ZI_WARENGR_ID";"ZI_WARENGR";"ZI_MENGE";"ZI_FAKTOR";"ZI_EINHEIT";"ZI_UST_SCHLUESSEL";"ZI_BASISPREIS_BRUTTO";"ZI_BASISPREIS_NETTO";"ZI_BASISPREIS_UST"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-04-28T19:44:59Z";"14";"ef820a81-961d-4af4-b7b8-a4c4b0f2b7a4";"1";"48665115";;;;;"1.000";;;"2";"1.50000";"1.40000";"0.10000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-04-28T19:44:59Z";"14";"ef820a81-961d-4af4-b7b8-a4c4b0f2b7a4";"2";"47826772";;;;;"1.000";;;"2";"2.00000";"1.87000";"0.13000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-04-28T19:44:59Z";"14";"ef820a81-961d-4af4-b7b8-a4c4b0f2b7a4";"2";"47835210";;;;;"1.000";;;"2";"1.00000";"0.93000";"0.07000"
