"Z_KASSE_ID";"Z_ERSTELLUNG";"Z_NR";"BON_ID";"UST_SCHLUESSEL";"BON_BRUTTO";"BON_NETTO";"BON_UST"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"f465a5ff-8691-4961-acbc-014aa07ea563";"1";"3.70";"3.11";"0.59"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"da008c2c-9efb-4564-a2a5-8c85d5641d44";"2";"11.00";"10.28";"0.72"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"3c4e8bdc-3ddf-4ec1-b1e0-529c888ed622";"2";"14.50";"13.55";"0.95"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"b23d35c4-f341-4614-85dc-84a5da58efcd";"1";"12.00";"10.08";"1.92"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"4d349923-545a-4ee9-b072-eee661f8f325";"1";"13.40";"11.26";"2.14"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"4d349923-545a-4ee9-b072-eee661f8f325";"2";"58.10";"54.30";"3.80"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"7d7e2b9f-d018-4b98-a2f9-6f9d52aec14f";"2";"20.00";"18.69";"1.31"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"b436818b-4e4a-4ef2-8ff3-47180f757695";"2";"11.00";"10.28";"0.72"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"9016083f-8a34-4f6c-8ff4-4adb2ccaca0a";"2";"11.00";"10.28";"0.72"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"832bc4e0-363b-41ed-8cba-d1945d112e0a";"1";"3.70";"3.11";"0.59"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"832bc4e0-363b-41ed-8cba-d1945d112e0a";"2";"11.00";"10.28";"0.72"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"ce563a4d-4a0d-4a00-81f1-fa5a4c6ae83b";"2";"14.50";"13.55";"0.95"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"3b89dd92-7ca1-433d-ad5f-6d3c7ee30823";"2";"10.00";"9.35";"0.65"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"8495e53a-510d-43ae-9b23-ec12d0fcbb63";"1";"3.70";"3.11";"0.59"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"8495e53a-510d-43ae-9b23-ec12d0fcbb63";"2";"19.00";"17.75";"1.25"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"64450782-46fd-4e9a-a60e-c392cd5b49a3";"1";"7.40";"6.22";"1.18"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"64450782-46fd-4e9a-a60e-c392cd5b49a3";"2";"19.50";"18.22";"1.28"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"af3117a1-9781-4b9f-8746-ede0f66f1bab";"2";"11.00";"10.28";"0.72"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"b90e129f-1464-44f1-b035-bcd3c6216147";"2";"8.50";"7.94";"0.56"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"9620e045-e38b-4aad-8e72-cb43bc010e33";"2";"23.50";"21.97";"1.53"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"26d2f7de-01ef-4a5b-9614-bf2cb844265d";"1";"11.10";"9.33";"1.77"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"26d2f7de-01ef-4a5b-9614-bf2cb844265d";"2";"39.00";"36.45";"2.55"
