"Z_KASSE_ID";"Z_ERSTELLUNG";"Z_NR";"UST_SCHLUESSEL";"UST_SATZ";"UST_BESCHR"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"1";"19.00";"Regelsteuersatz"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"2";"7.00";"Ermäßigter Steuersatz"
