"Z_KASSE_ID";"Z_ERSTELLUNG";"Z_NR";"BON_ID";"TSE_ID";"TSE_TANR";"TSE_TA_START";"TSE_TA_ENDE";"TSE_TA_VORGANGSART";"TSE_TA_SIGZ";"TSE_TA_SIG";"TSE_TA_FEHLER";"TSE_VORGANGSDATEN"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"26d2f7de-01ef-4a5b-9614-bf2cb844265d";"1";"671";"2025-06-05T10:04:05.000Z";"2025-06-05T10:06:40.000Z";"Kassenbeleg-V1";"2259";"AVf9L7xpUbfQVE4+IYyMz/Sx3h2n5mnr+8zk8nxbSqMdfpCKZNLwm9rGQUF0K6R2iNZ71Npva7XswAqe9aEqfw==";;"Beleg^11.10_39.00_0.00_0.00_0.00^50.10:Bar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"9620e045-e38b-4aad-8e72-cb43bc010e33";"1";"673";"2025-06-05T10:52:28.000Z";"2025-06-05T10:53:27.000Z";"Kassenbeleg-V1";"2270";"GVUOjCHUFZ2/WDlnUZi8C52NDFTrgdAkSCTKdRiGI1OTYQo8ip0wfwnFQtYW4fYw8yTeRtxA90c5NF/6YCZNsA==";;"Beleg^0.00_23.50_0.00_0.00_0.00^23.50:Bar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"b90e129f-1464-44f1-b035-bcd3c6216147";"1";"675";"2025-06-05T11:05:51.000Z";"2025-06-05T11:07:27.000Z";"Kassenbeleg-V1";"2277";"dhumq7kJwzcyMT951BJCW7gr0cijz1H0T3/p/BAA7hq2uqZ9xP7KM88hqdxHm9FjtB9GN5ybf2YZKftYOqjsUA==";;"Beleg^0.00_8.50_0.00_0.00_0.00^8.50:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"af3117a1-9781-4b9f-8746-ede0f66f1bab";"1";"677";"2025-06-05T11:07:45.000Z";"2025-06-05T11:08:13.000Z";"Kassenbeleg-V1";"2284";"7JWn24wooUOy0i4l0P9SFg6Ufd8OmYY3gte7PR65eshA0+TfxwAB2xBZjagspgmsOwYX2f80eOzBJhd4gRsusw==";;"Beleg^0.00_11.00_0.00_0.00_0.00^11.00:Bar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"64450782-46fd-4e9a-a60e-c392cd5b49a3";"1";"679";"2025-06-05T11:09:25.000Z";"2025-06-05T11:12:25.000Z";"Kassenbeleg-V1";"2292";"pKzKrlc1PHu/0NhUQ49lEOjmWCQSSC2H3lz/IjgXBzVFbmf4lUGHrGwvbPHF5cDovQLzkDCq/ynO/kG5WdTnLw==";;"Beleg^7.40_19.50_0.00_0.00_2.69^29.59:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"8495e53a-510d-43ae-9b23-ec12d0fcbb63";"1";"681";"2025-06-05T12:40:05.000Z";"2025-06-05T12:42:01.000Z";"Kassenbeleg-V1";"2301";"hVk76ohwQ+jsV+SMkaXf2Va/jc5mv3wJPmZJBQdyjCS/gv+oDOiQ/jWlXYxdqtXCgfgqxniWK5JxdltXvISCvg==";;"Beleg^3.70_19.00_0.00_0.00_2.27^24.97:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"3b89dd92-7ca1-433d-ad5f-6d3c7ee30823";"1";"683";"2025-06-05T13:21:53.000Z";"2025-06-05T13:22:14.000Z";"Kassenbeleg-V1";"2306";"U2n1q7a23TC3nyN2mLibM2Xfvvsgrzh3DzAlsfe/TywNk6DRBpuwVFxFx86BzKBSAz+B1dSZw+wrTsG3McDUzA==";;"Beleg^0.00_10.00_0.00_0.00_1.00^11.00:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"ce563a4d-4a0d-4a00-81f1-fa5a4c6ae83b";"1";"685";"2025-06-05T13:58:35.000Z";"2025-06-05T13:59:12.000Z";"Kassenbeleg-V1";"2311";"na8tEdTNEflNI2EF+UI2FbawNBraOUbxZAv4M/GN+tYhE9QbEHFAz7VelU+uayYQUBZ7Wh46YwJ0T69MJ6MeKg==";;"Beleg^0.00_14.50_0.00_0.00_0.00^14.50:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"832bc4e0-363b-41ed-8cba-d1945d112e0a";"1";"687";"2025-06-05T14:14:08.000Z";"2025-06-05T14:14:43.000Z";"Kassenbeleg-V1";"2317";"9EwMpHbOliUjZo/ODt60J54bMwQdQvY5Thal13ZMbAbpd4ssQ5goAhaAheOFjvZhr/th25acWOH4VZYr8KmeUg==";;"Beleg^3.70_11.00_0.00_0.00_1.47^16.17:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"9016083f-8a34-4f6c-8ff4-4adb2ccaca0a";"1";"689";"2025-06-05T14:42:18.000Z";"2025-06-05T14:42:56.000Z";"Kassenbeleg-V1";"2322";"Qsv2nwYsdKRPUBUmOsfawpn+tBKW9f5Y1HQpnGy+q8e+6KhQ9+DFA1tMMAocd1U3avMJwJBx+XRLLyCn0E6WLg==";;"Beleg^0.00_11.00_0.00_0.00_0.00^11.00:Bar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"b436818b-4e4a-4ef2-8ff3-47180f757695";"1";"691";"2025-06-05T14:43:16.000Z";"2025-06-05T14:43:38.000Z";"Kassenbeleg-V1";"2327";"EVSJ33xstsyJ6oyhR6xy5hXoenzWJN9gRcQABDzJR9mU4JvQtwDiGLdZjRq731JltWqNJ9QPVkIOgwqBbeo7qw==";;"Beleg^0.00_11.00_0.00_0.00_0.00^11.00:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"7d7e2b9f-d018-4b98-a2f9-6f9d52aec14f";"1";"693";"2025-06-05T14:48:13.000Z";"2025-06-05T14:48:53.000Z";"Kassenbeleg-V1";"2333";"KV2VVnRN1dMLDMMOlfm3z1VKxjvjB0r4y7eJA1UnJQTO1ZVteX7xVse2Y2sqttMZT594VGIMp2qqtCLskJwg0w==";;"Beleg^0.00_20.00_0.00_0.00_2.00^22.00:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"4d349923-545a-4ee9-b072-eee661f8f325";"1";"695";"2025-06-05T16:17:28.000Z";"2025-06-05T16:24:14.000Z";"Kassenbeleg-V1";"2350";"w9eFhIePlpKMt7aVmP5jpCYOJAZBbKNtHPkc+efTRy7KM76Ih30XVvK6V68uXtH8JI4ijNN7uygHL6YBrULqNg==";;"Beleg^13.40_58.10_0.00_0.00_0.00^71.50:Bar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"b23d35c4-f341-4614-85dc-84a5da58efcd";"1";"697";"2025-06-05T16:31:38.000Z";"2025-06-05T16:32:12.000Z";"Kassenbeleg-V1";"2356";"oTMK/HchX/j5B0LyZ1j6vQp2Wxf6cQ4nyXcYA/4eqGbwR4oL/VxL4U5kYxv2R+W7ciiQuB+8l/3Lq0FCvekF+w==";;"Beleg^12.00_0.00_0.00_0.00_0.00^12.00:Bar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"3c4e8bdc-3ddf-4ec1-b1e0-529c888ed622";"1";"699";"2025-06-05T16:43:30.000Z";"2025-06-05T16:45:23.000Z";"Kassenbeleg-V1";"2363";"0UAw/rkgrnVRvG1WmwXGxWbLZnxRgNfPqTssTJtLWMWz+w4vPeKVU7X5UYiFhttPeqVHiLCgi+NnLcapY0uTZA==";;"Beleg^0.00_14.50_0.00_0.00_0.00^14.50:Bar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"da008c2c-9efb-4564-a2a5-8c85d5641d44";"1";"701";"2025-06-05T17:13:08.000Z";"2025-06-05T17:13:43.000Z";"Kassenbeleg-V1";"2368";"98YHZjuPRF+bLALib/ZZDyXdIreI6iFueEIcl9Ec5IcjIdyWNo3oWmR3LhsGCJcPgKp9oWR9bRF+WAScLfd4Xw==";;"Beleg^0.00_11.00_0.00_0.00_0.00^11.00:Unbar"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"f465a5ff-8691-4961-acbc-014aa07ea563";"1";"703";"2025-06-05T17:22:20.000Z";"2025-06-05T17:23:21.000Z";"Kassenbeleg-V1";"2373";"8WJV4GAu5e8y16KKns8WAJAtvz9I2KmorfhZj+ENcGxtmL8HPOJoEbDl/9EvPwT2N1eTedOq1uqqBUTASLqhZQ==";;"Beleg^3.70_0.00_0.00_0.00_0.00^3.70:Unbar"
