"Z_KASSE_ID";"Z_ERSTELLUNG";"Z_NR";"BON_ID";"POS_ZEILE";"UST_SCHLUESSEL";"POS_BRUTTO";"POS_NETTO";"POS_UST"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"f465a5ff-8691-4961-acbc-014aa07ea563";"1";"1";;"3.11000";"0.59000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"da008c2c-9efb-4564-a2a5-8c85d5641d44";"1";"2";;"10.28000";"0.72000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"3c4e8bdc-3ddf-4ec1-b1e0-529c888ed622";"2";"2";;"13.55000";"0.95000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"3c4e8bdc-3ddf-4ec1-b1e0-529c888ed622";"1";"2";;"10.28000";"0.72000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"b23d35c4-f341-4614-85dc-84a5da58efcd";"2";"1";;"5.04000";"0.96000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"b23d35c4-f341-4614-85dc-84a5da58efcd";"1";"1";;"5.04000";"0.96000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"4d349923-545a-4ee9-b072-eee661f8f325";"12";"2";;"1.87000";"0.13000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"4d349923-545a-4ee9-b072-eee661f8f325";"11";"1";;"3.11000";"0.59000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"4d349923-545a-4ee9-b072-eee661f8f325";"10";"1";;"3.11000";"0.59000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"4d349923-545a-4ee9-b072-eee661f8f325";"9";"1";;"5.04000";"0.96000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"4d349923-545a-4ee9-b072-eee661f8f325";"8";"2";;"5.14000";"0.36000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"4d349923-545a-4ee9-b072-eee661f8f325";"7";"2";;"0.93000";"0.07000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"4d349923-545a-4ee9-b072-eee661f8f325";"6";"2";;"7.29000";"0.51000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"4d349923-545a-4ee9-b072-eee661f8f325";"5";"2";;"9.16000";"0.64000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"4d349923-545a-4ee9-b072-eee661f8f325";"4";"2";;"9.35000";"0.65000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"4d349923-545a-4ee9-b072-eee661f8f325";"3";"2";;"10.28000";"0.72000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"4d349923-545a-4ee9-b072-eee661f8f325";"2";"2";;"10.28000";"0.72000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"4d349923-545a-4ee9-b072-eee661f8f325";"1";"1";;"3.11000";"0.59000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"7d7e2b9f-d018-4b98-a2f9-6f9d52aec14f";"2";"2";;"5.14000";"0.36000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"7d7e2b9f-d018-4b98-a2f9-6f9d52aec14f";"1";"2";;"13.55000";"0.95000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"b436818b-4e4a-4ef2-8ff3-47180f757695";"1";"2";;"10.28000";"0.72000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"9016083f-8a34-4f6c-8ff4-4adb2ccaca0a";"1";"2";;"10.28000";"0.72000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"832bc4e0-363b-41ed-8cba-d1945d112e0a";"2";"1";;"3.11000";"0.59000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"832bc4e0-363b-41ed-8cba-d1945d112e0a";"1";"2";;"10.28000";"0.72000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"ce563a4d-4a0d-4a00-81f1-fa5a4c6ae83b";"1";"2";;"13.55000";"0.95000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"3b89dd92-7ca1-433d-ad5f-6d3c7ee30823";"1";"2";;"9.35000";"0.65000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"8495e53a-510d-43ae-9b23-ec12d0fcbb63";"5";"1";;"3.11000";"0.59000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"8495e53a-510d-43ae-9b23-ec12d0fcbb63";"4";"2";;"0.93000";"0.07000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"8495e53a-510d-43ae-9b23-ec12d0fcbb63";"3";"2";;"2.80000";"0.20000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"8495e53a-510d-43ae-9b23-ec12d0fcbb63";"2";"2";;"3.74000";"0.26000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"8495e53a-510d-43ae-9b23-ec12d0fcbb63";"1";"2";;"10.28000";"0.72000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"64450782-46fd-4e9a-a60e-c392cd5b49a3";"4";"1";;"3.11000";"0.59000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"64450782-46fd-4e9a-a60e-c392cd5b49a3";"3";"1";;"3.11000";"0.59000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"64450782-46fd-4e9a-a60e-c392cd5b49a3";"2";"2";;"7.94000";"0.56000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"64450782-46fd-4e9a-a60e-c392cd5b49a3";"1";"2";;"10.28000";"0.72000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"af3117a1-9781-4b9f-8746-ede0f66f1bab";"2";"2";;"10.28000";"0.72000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"af3117a1-9781-4b9f-8746-ede0f66f1bab";"1";"2";;"10.28000";"0.72000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"b90e129f-1464-44f1-b035-bcd3c6216147";"2";"2";;"7.94000";"0.56000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"b90e129f-1464-44f1-b035-bcd3c6216147";"1";"2";;"10.28000";"0.72000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"9620e045-e38b-4aad-8e72-cb43bc010e33";"5";"2";;"2.34000";"0.16000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"9620e045-e38b-4aad-8e72-cb43bc010e33";"4";"2";;"10.28000";"0.72000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"9620e045-e38b-4aad-8e72-cb43bc010e33";"3";"2";;"9.35000";"0.65000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"9620e045-e38b-4aad-8e72-cb43bc010e33";"2";"2";;"8.41000";"0.59000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"9620e045-e38b-4aad-8e72-cb43bc010e33";"1";"2";;"7.48000";"0.52000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"26d2f7de-01ef-4a5b-9614-bf2cb844265d";"6";"2";;"2.80000";"0.20000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"26d2f7de-01ef-4a5b-9614-bf2cb844265d";"5";"2";;"3.74000";"0.26000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"26d2f7de-01ef-4a5b-9614-bf2cb844265d";"4";"2";;"10.28000";"0.72000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"26d2f7de-01ef-4a5b-9614-bf2cb844265d";"3";"2";;"9.35000";"0.65000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"26d2f7de-01ef-4a5b-9614-bf2cb844265d";"2";"2";;"10.28000";"0.72000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"26d2f7de-01ef-4a5b-9614-bf2cb844265d";"1";"1";;"9.33000";"1.77000"
