"Z_KASSE_ID";"Z_ERSTELLUNG";"Z_NR";"BON_ID";"POS_ZEILE";"ZI_ART_NR";"ZI_GTIN";"ZI_NAME";"ZI_WARENGR_ID";"ZI_WARENGR";"ZI_MENGE";"ZI_FAKTOR";"ZI_EINHEIT";"ZI_UST_SCHLUESSEL";"ZI_BASISPREIS_BRUTTO";"ZI_BASISPREIS_NETTO";"ZI_BASISPREIS_UST"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"b90e129f-1464-44f1-b035-bcd3c6216147";"2";"48665255";;;;;"1.000";;;"2";"0.50000";"0.47000";"0.03000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"ce563a4d-4a0d-4a00-81f1-fa5a4c6ae83b";"1";"47798836";;;;;"1.000";;;"2";"4.50000";"4.21000";"0.29000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"7d7e2b9f-d018-4b98-a2f9-6f9d52aec14f";"1";"47798836";;;;;"1.000";;;"2";"4.50000";"4.21000";"0.29000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-05T18:33:35Z";"31";"3c4e8bdc-3ddf-4ec1-b1e0-529c888ed622";"2";"47798836";;;;;"1.000";;;"2";"4.50000";"4.21000";"0.29000"
